
Data Item Number,Data Item Name,Length,Source of Standard,Record Type,Section Name,XML NAACCR ID,Parent XML Element,Year Implemented,Version Implemented,Year Retired,Version Retired,NPCR Collect,CoC Collect,SEER Collect,CCCR Collect,Description,Rationale,Clarification,General Notes,Instructions for Coding,Allowable Values,Format,Data Type,Code Notes,Record Layout Table Note,Required Status Table Note,Data Descriptor Table Note,Record Layout Note,Required Status Note,Data Descriptor Note,Data Dictionary Description Note,Data Dictionary Rationale Note,Data Dictionary Code Note
1646,RX Summ--Surg Site 98-02,2,SEER/CoC,"A,C,I,M",Treatment-1st Course,rxSummSurgSite9802,Tumor,,,,,.,RH,.,.,"Site-specific codes for the type of surgery to the primary site performed as part of the first course of treatment. This includes treatment given at all facilities as part of the first course of treatment. This field is to be used for *ROADS* codes after the *ROADS* to *FORDS* conversion. It is also to be used to code Surgery Primary Site at all facilities for all tumors diagnosed before January 1, 2003.","If central registries wish to study the treatment given at particular hospitals, the hospital-level treatment fields must be used.",,,**Codes (in addition to the site-specific codes)** ,"00, 10-90, 99 (site-specific), blank","Right justified, zero filled",digits,"*Note:* See the CoC *ROADS Manual*, 1998 Supplement, CoC Coding System [2140] code 7, and the *SEER Program Code Manual*, RX Coding System [1460] code 5, 1998 for site-specific codes.",,,,,,,,,
1647,RX Summ--Scope Reg 98-02,1,SEER/CoC,"A,C,I,M",Treatment-1st Course,rxSummScopeReg9802,Tumor,,,,,.,RH,RH,.,"Describes the removal, biopsy or aspiration of regional lymph node(s) at the time of surgery of the primary site or during a separate surgical event at all facilities. This field is to be used for *ROADS* codes after the *ROADS* to *FORDS* conversion. It is also to be used to code Scope of Regional Lymph Node Surgery at all facilities for all tumors diagnosed before January 1, 2003.","In evaluating quality of care and treatment practices it is important to identify the removal, biopsy, or aspiration of regional lymph node(s) at the time of surgery of the primary site or during a separate surgical event.",,,**Codes (See the CoC *ROADS* Manual 1998 Supplement and the *SEER Program Code Manual* for site-specific codes.)** ,"0-9 (site-specific), blank",,digits,,,,,,,,,,
1648,RX Summ--Surg Oth 98-02,1,SEER/CoC,"A,C,I,M",Treatment-1st Course,rxSummSurgOth9802,Tumor,,,,,.,RH,RH,.,"Records the surgical removal of distant lymph nodes or other tissue(s)/organ(s) beyond the primary site given at all facilities as part of the first course of treatment. This field is to be used for *ROADS* codes after the *ROADS* to *FORDS* conversion. It is also to be used to code Surgery Regional/Distant Sites at all facilities for all tumors diagnosed before January 1, 2003.",The removal of non-primary tissue documents the extent of surgical treatment and is useful in evaluating the extent of metastatic involvement.,,,**Codes (See the CoC ROADS Manual 1998 Supplement and the SEER Program Code Manual for site-specific codes.)** ,"0-9 (site-specific), blank",,digits,,,,,,,,,,
1660,Subsq RX 2nd Course Date,8,CoC,"A,C,I,M",Treatment-Subsequent & Other,subsqRx2ndCourseDate,Tumor,,,,,.,.,.,.,Date of initiation of second-course treatment. Central registries currently collecting this data item should follow the _1998 ROADS Manual_ coding instructions. See [**Data Descriptor Table**](https://apps.naaccr.org/data-dictionary/data-dictionary/version=24/chapter-view/data-descriptor-table/) for date format.,,,"_Note:_ This data item is no longer supported by CoC (as of January 1, 2003).",,Valid dates,YYYYMMDD,date,,,,,,,,,,
1671,Subsq RX 2nd Course Surg,2,CoC,"A,C,I,M",Treatment-Subsequent & Other,subsqRx2ndCourseSurg,Tumor,2011,12.2,,,.,.,.,.,"Codes for the type of primary site surgery given as part of the second course of treatment. Central registries currently collecting this data item should follow the *1998 ROADS Manual* coding instructions. The codes are the same as those for Surgery of Primary Site, *1998 ROADS Manual*, p. 187.",,,"*Note:* This data item is no longer supported by CoC (as of January 1, 2003).",,"00, 10-90, 99","Right justified, zero filled",digits,,,,,,,,,,
1672,Subsq RX 2nd Course Rad,1,CoC,"A,C,I,M",Treatment-Subsequent & Other,subsqRx2ndCourseRad,Tumor,2011,12.2,,,.,.,.,.,"Codes for the type of radiation given as part of the second course of treatment. Central registries currently collecting this data item should follow the *1998 ROADS Manual* coding instructions. The codes are the same as those for Radiation, *1998 ROADS Manual*, p. 199.",,,"*Note:* This data item is no longer supported by CoC (as of January 1, 2003).",,"0-5, 9",,digits,,,,,,,,,,
1673,Subsq RX 2nd Course Chemo,1,CoC,"A,C,I,M",Treatment-Subsequent & Other,subsqRx2ndCourseChemo,Tumor,2011,12.2,,,.,.,.,.,"Codes for the type of chemotherapy given as part of the second course of treatment. Central registries currently collecting this data item should follow the *1998 ROADS Manual* coding instructions. The codes are the same as those for Chemotherapy, *1998 ROADS Manual*, p. 228.",,,"*Note:* This data item is no longer supported by CoC (as of January 1, 2003).",,"0-3, 9",,digits,,,,,,,,,,
1674,Subsq RX 2nd Course Horm,1,CoC,"A,C,I,M",Treatment-Subsequent & Other,subsqRx2ndCourseHorm,Tumor,,,,,.,.,.,.,"Codes for the type of hormonal therapy given as part of the second course of treatment. Central registries currently collecting this data item should follow the *1998 ROADS Manual* coding instructions. The codes are the same as those for Hormone Therapy, *1998 ROADS Manual*, p. 238.",,,"*Note:* This data item is no longer supported by CoC (as of January 1, 2003).",,"0-3, 9",,digits,,,,,,,,,,
1675,Subsq RX 2nd Course BRM,1,CoC,"A,C,I,M",Treatment-Subsequent & Other,subsqRx2ndCourseBrm,Tumor,2011,12.2,,,.,.,.,.,"Codes for the type of biological response modifier therapy given as part of the second course of treatment. Central registries currently collecting this data item should follow the *1998 ROADS Manual* coding instructions. The codes are the same as those for Immunotherapy, *1998 ROADS Manual*, p. 243.",,,"*Note:* This data item is no longer supported by CoC (as of January 1, 2003).",,0-9,,digits,,,,,,,,,,
1676,Subsq RX 2nd Course Oth,1,CoC,"A,C,I,M",Treatment-Subsequent & Other,subsqRx2ndCourseOth,Tumor,2011,12.2,,,.,.,.,.,"Codes for the type of other treatment given as part of the second course of treatment. Central registries currently collecting this data item should follow the *1998 ROADS Manual* coding instructions. The codes are the same as those for Other Treatment, *1998 ROADS Manual*, p. 246.",,,"*Note:* This data item is no longer supported by CoC (as of January 1, 2003).",,"0-3, 6-9",,digits,,,,,,,,,,
1677,Subsq RX 2nd--Scope LN SU,1,CoC,"A,C,I,M",Treatment-Subsequent & Other,subsqRx2ndScopeLnSu,Tumor,1997,5.1,,,.,.,.,.,"Codes for the type of surgery performed to remove regional lymph nodes as part of the second course of treatment. Central registries currently collecting this data item should follow the *1998 ROADS Manual* coding instructions. The codes are the same as those for Scope of Regional Lymph Node Surgery, *1998 ROADS Manual*, p. 192. ",,,"*Note:* This data item is no longer supported by CoC (as of January 1, 2003).",,0-9,,digits,,,,,,,,,,
1678,Subsq RX 2nd--Surg Oth,1,CoC,"A,C,I,M",Treatment-Subsequent & Other,subsqRx2ndSurgOth,Tumor,1997,5.1,,,.,.,.,.,"Codes for the type of surgery performed on tissue or organs other than the primary site and regional lymph nodes as part of the second course of treatment. Central registries currently collecting this data item should follow the *1998 ROADS Manual* coding instructions. The codes are the same as those for Surgery of Other Regional Site(s), Distant Site(s) or Distant Lymph Node(s), *1998 ROADS Manual*, p. 194.",,,"*Note:* This data item is no longer supported by CoC (as of January 1, 2003).",,0-9,,digits,,,,,,,,,,
1679,Subsq RX 2nd--Reg LN Rem,2,CoC,"A,C,I,M",Treatment-Subsequent & Other,subsqRx2ndRegLnRem,Tumor,1997,5.1,,,.,.,.,.,"Codes for the number of regional lymph nodes removed as part of the second course of treatment. Central registries currently collecting this data item should follow the *1998 ROADS Manual* coding instructions. The codes are the same as those for Number of Regional Lymph Nodes Removed, *1998 ROADS Manual*, p. 193.",,,"*Note:* This data item is no longer supported by CoC (as of January 1, 2003).",,"00-90, 95-99","Right justified, zero filled",digits,,,,,,,,,,
1680,Subsq RX 3rd Course Date,8,CoC,"A,C,I,M",Treatment-Subsequent & Other,subsqRx3rdCourseDate,Tumor,,,,,.,.,.,.,Date of initiation of third course of treatment. Central registries currently collecting this data item should follow the _1998 ROADS Manual_ coding instructions. See [**Data Descriptor Table**](https://apps.naaccr.org/data-dictionary/data-dictionary/version=24/chapter-view/data-descriptor-table/) for date format.,,,,,Valid dates,YYYYMMDD,date,,,,,,,,,,
